name,num_conv_layers,num_filters,filter_sizes,pooling_type,accuracy,macro_f1,params,weights_path
cnn_conv_L3_F32-64-64_K3-3-3_Paverage,3,"[32, 64, 64]","[3, 3, 3]",average,0.7926666666666666,0.7944266992026057,1107334,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L3_F32-64-64_K3-3-3_Paverage.keras
cnn_conv_L3_F64-128-128_K3-3-3_Pmax,3,"[64, 128, 128]","[3, 3, 3]",max,0.787,0.7925433853820764,2323462,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L3_F64-128-128_K3-3-3_Pmax.keras
cnn_conv_L3_F64-128-128_K5-5-5_Pmax,3,"[64, 128, 128]","[5, 5, 5]",max,0.7866666666666666,0.7883888970432613,2719750,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L3_F64-128-128_K5-5-5_Pmax.keras
cnn_conv_L2_F32-64_K3-3_Paverage,2,"[32, 64]","[3, 3]",average,0.7853333333333333,0.7872530656754934,4215878,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L2_F32-64_K3-3_Paverage.keras
cnn_conv_L3_F32-64-64_K3-3-3_Pmax,3,"[32, 64, 64]","[3, 3, 3]",max,0.777,0.7793576733053383,1107334,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L3_F32-64-64_K3-3-3_Pmax.keras
cnn_conv_L3_F64-128-128_K3-3-3_Paverage,3,"[64, 128, 128]","[3, 3, 3]",average,0.7766666666666666,0.7783265547630963,2323462,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L3_F64-128-128_K3-3-3_Paverage.keras
cnn_conv_L2_F32-64_K3-3_Pmax,2,"[32, 64]","[3, 3]",max,0.7746666666666666,0.7778294614578556,4215878,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L2_F32-64_K3-3_Pmax.keras
cnn_conv_L3_F32-64-64_K5-5-5_Paverage,3,"[32, 64, 64]","[5, 5, 5]",average,0.772,0.7756311627514005,1207174,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L3_F32-64-64_K5-5-5_Paverage.keras
cnn_conv_L2_F64-128_K3-3_Paverage,2,"[64, 128]","[3, 3]",average,0.7706666666666667,0.7724674611061434,8466822,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L2_F64-128_K3-3_Paverage.keras
cnn_conv_L3_F64-128-128_K5-5-5_Paverage,3,"[64, 128, 128]","[5, 5, 5]",average,0.7666666666666667,0.7677619889153947,2719750,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L3_F64-128-128_K5-5-5_Paverage.keras
cnn_conv_L2_F32-64_K5-5_Pmax,2,"[32, 64]","[5, 5]",max,0.766,0.7671177760310487,4250182,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L2_F32-64_K5-5_Pmax.keras
cnn_conv_L3_F32-64-64_K5-5-5_Pmax,3,"[32, 64, 64]","[5, 5, 5]",max,0.765,0.7666107442012118,1207174,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L3_F32-64-64_K5-5-5_Pmax.keras
cnn_conv_L2_F64-128_K3-3_Pmax,2,"[64, 128]","[3, 3]",max,0.7043333333333334,0.7060104545146807,8466822,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L2_F64-128_K3-3_Pmax.keras
cnn_conv_L2_F64-128_K5-5_Paverage,2,"[64, 128]","[5, 5]",average,0.7006666666666667,0.705218706808231,8600966,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L2_F64-128_K5-5_Paverage.keras
cnn_conv_L2_F64-128_K5-5_Pmax,2,"[64, 128]","[5, 5]",max,0.7026666666666667,0.7022967788203398,8600966,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L2_F64-128_K5-5_Pmax.keras
cnn_conv_L2_F32-64_K5-5_Paverage,2,"[32, 64]","[5, 5]",average,0.6773333333333333,0.6686475441054047,4250182,/home/stahlynx/Coding/Semester-6/ML/Tejumama_Image-Captioning/src/wajib/weights/cnn/cnn_conv_L2_F32-64_K5-5_Paverage.keras
